# EVTDESC_SUFI_4090;I have decided to show my devotion to God and the order by taking a vow of celibacy.;J'ai décidé de montrer ma dévotion à Dieu et à l'ordre en faisant vœu de célibat.;Ich habe mich entschlossen, meine Hingabe an Gott und den Orden durch die Abgabe eines Keuschheitsgelübdes zu beweisen.;;He decidido jurar el voto de celibato como muestra de mi devoción por Dios.;;;;;;;;;x
# EVTOPT_SUFI_4090;Praise God!;Dieu soit loué !;Gepriesen sei Gott!;;¡Alabado sea Dios!;;;;;;;;;x
# EVTDESC_SUFI_4091;I have decided to stop my vow of celibacy and re-attend my duties to my family.;J'ai décidé de briser mon vœu de célibat et de remplir à nouveau mes devoirs envers ma famille.;Ich habe mich entschlossen, mein Keuschheitsgelübde zu beenden und mich wieder meinen Familienpflichten zuzuwenden.;;He decidido poner fin a mi voto de celibato para retomar mis obligaciones familiares.;;;;;;;;;x
EVTOPT_SUFI_4091;The ordeal is over.;Le supplice est terminé.;Die Qual ist zu Ende.;;Por fin se ha acabado esta tortura.;;;;;;;;;x
EVTDESC_SUFI_3262;I have received a letter from my fellow member of [This.Society.GetName], [From.GetTitledFirstName]: "Dear [Root.GetSisterBrother] [Root.GetFirstName]. Will you, as the [Root.Religion.GetGroupName] scholar you are, please offer me some advice on my poetry? Or, the attempt of it?" Reading through the attached documents, there are multiple verses, all in honor of [From.Religion.GetHighGodName].;J'ai reçu une lettre d'un[From.GetNoneE] membre [This.Get_du_Society][This.Society.GetName], [From.Get_le_Title][From.GetTitledFirstName]: « Ch[Root.GetErEre] [Root.GetSisterBrother] [Root.GetFirstName]. Accepteriez-vous, en tant qu'érudit[Root.GetNoneE] [Root.GetReligiousGroupMascFem], de me donner quelques conseils sur ma poésie ? ». En lisant les documents joints, il y a plusieurs versets, tous en l'honneur [From.Get_du_HighGod][From.Religion.GetHighGodName].;Ich habe einen Brief von [From.GetTitledFirstName], einem anderen Mitglied des "[This.Society.GetName]"-Zirkels, erhalten: "[Root.GetSisterBrother] [Root.GetFirstName]. Könnt Ihr mir bitte als Gelehrte[Root.GetrMale] [Root.Religion.GetGroupName] Dinge Rat zu meiner Dichtkunst geben? Oder besser gesagt: Zu meinem Versuch an der Dichtkunst?" Ich lese die beigefügten Manuskripte durch, bei denen es sich um mehrere Verse zum Lob von [From.Religion.GetHighGodName] handelt.;;"He recibido una carta de un miembro de [This.Society.GetName], mi camarada [From.GetTitledFirstName]: "[Root.GetSisterBrother] [Root.GetFirstName], ¿podrías, como erudito del credo [Root.Religion.GetGroupName], ofrecerme consejo sobre mi poesía? O mi intento de poesía". En los documentos adjuntos, se leen múltiples versos, todos dedicados a [From.Religion.GetHighGodName].";;;;;;;;;x
EVTOPTA_SUFI_3262;Hmm... I am missing the more comforting aspects of faith.;Hmm... J'avais oublié les aspects les plus agréables de la foi.;Hm ... Ich vermisse die tröstlicheren Aspekte des Glaubens.;;Me estoy perdiendo los aspectos más reconfortantes de la fe.;;;;;;;;;x
EVTOPTA_SUFI_3262_TT;§Y[From.GetTitledFirstName]§! will receive a letter with your advice.\n;[From.Get_Le_Title]§Y[From.GetTitledFirstName]§! va recevoir une lettre avec vos commentaires.\n;§Y[From.GetTitledFirstName]§! wird einen Brief mit Eurem Rat erhalten.\n;;§Y[From.GetTitledFirstName]§! recibirá una carta con tus consejos.\n;;;;;;;;;x
EVTOPTB_SUFI_3262;While I enjoy the metaphors, they seem a little forced?;Bien que j'apprécie les métaphores, elles semblent un peu forcées ?;Ich habe die Metaphern zwar genossen, doch sie erschienen mir etwas zu gezwungen.;;Me gustan sus metáforas, aunque suenan un poco forzadas.;;;;;;;;;x
EVTOPTC_SUFI_3262;Writing is frivolous.;Écrire c'est frivole.;Schreiben ist eine frivole Tätigkeit.;;Estos textos son frívolos.;;;;;;;;;x
EVTOPTC_SUFI_3262_TT;You can't be bothered with this.\n;Vous ne pouvez pas perdre du temps avec ce genre de choses.\n;Damit dürft Ihr Euch nicht belasten.\n;;No puedo perder el tiempo con esto.\n;;;;;;;;;x
EVTDESC_SUFI_3264;I was beginning to think that [From.GetTitledFirstName] took offense to my comments, but today I have received a new draft of [From.GetHerHis] work – I am surprised to find that [From.GetHerHis] words really speak to me. Scribbled in the margin I can just make out: "I implore you, [Root.GetSisterBrother], bear with me. It is not finished".;Je commençais à penser que [From.Get_le_Title][From.GetTitledFirstName] s'était offusqué[From.GetNoneE] de mes commentaires, mais aujourd'hui, j'ai reçu un nouveau brouillon de son travail – je suis surpris[Root.GetNoneE] de constater que ses mots me parlent vraiment. Gribouillés dans la marge j'arrive juste à lire : « Je vous implore, [Root.GetSisterBrother], soyez indulgent[Root.GetNoneE] avec moi. Ce n'est pas terminé. »;Ich begann zu denken, dass [From.GetTitledFirstName] Anstoß an meinen Kommentaren genommen hat, doch heute habe ich einen neuen Entwurf [From.GetHerHis]er Arbeit erhalten, und zu meiner Überraschung machen die Worte einen starken Eindruck auf mich. Am Rand hingekritzelt steht: "Ich flehe Euch an, [Root.GetSisterBrother], habt Geduld mit mir. Es ist noch nicht fertig.";;"Empezaba a pensar que [From.GetTitledFirstName] se había ofendido por mis comentarios, pero hoy he recibido un nuevo borrador de su obra: me sorprende ver que sus palabras me llegan. Garabateado en los márgenes, me parece leer: "Te lo ruego, [Root.GetSisterBrother], ten paciencia. No está terminado".";;;;;;;;;x
EVTOPTA_SUFI_3264;Nonsense! This is brilliant work and the world needs to see it!;C'est un travail brillant que le monde doit connaître !;Unsinn! Das ist eine brillante Arbeit, die von der Welt gesehen werden muss!;;¡Qué tontería! Esta obra es magnífica, y ¡el mundo debe conocerla!;;;;;;;;;x
EVTOPTA_SUFI_3264_TT;You make sure the writings are published, against the wishes of §Y[From.GetTitledFirstName]§!.\n;Vous vous assurez que les écrits soient publiés, contre la volonté [From.Get_du_Title]§Y[From.GetTitledFirstName]§!.\n;Sorgt dafür, dass diese Texte gegen die Wünsche von §Y[From.GetTitledFirstName]§! veröffentlicht werden.\n;;Te aseguras de que sus textos se publiquen, en contra de lo que desea §Y[From.GetTitledFirstName]§!.\n;;;;;;;;;x
EVTOPTB_SUFI_3264;I think [This.Society.GetName] will treasure these words.;Les membres [This.Get_du_Society][This.Society.GetName] vont le garder précieusement.;Ich glaube, der "[This.Society.GetName]"-Zirkel weiß diese Worte zu schätzen.;;Creo que [This.Society.GetName] apreciará estas líneas.;;;;;;;;;x
EVTOPTB_SUFI_3264_TT;You intend to make sure that the writings will go to §Y[This.Society.GetName]§! for safe-keeping.\n;Vous avez l'intention de vous assurer que ces vers seront conservés par [This.Get_le_Society]§Y[This.Society.GetName]§!.\n;Ihr habt vor, dafür zu sorgen, dass die Texte zur sicheren Verwahrung dem "§Y[This.Society.GetName]§!"-Zirkel zugestellt werden.\n;;Piensas asegurarte de que los textos lleguen a §Y[This.Society.GetName]§! para que los custodien.\n;;;;;;;;;x
EVTOPTC_SUFI_3264;Can I keep this?;Puis-je les garder ?;Kann ich das behalten?;;¿Me lo puedo quedar?;;;;;;;;;x
EVTOPTC_SUFI_3264_TT;You find great comfort in the writings.\n;Vous trouvez du réconfort à lire ces lignes.\n;Ihr findet in den Texten großen Trost.\n;;Encuentras un gran consuelo en los textos.\n;;;;;;;;;x
EVTOPTD_SUFI_3264;If I were to put these poems out, in my own name...;Et si je publiais ces vers, à mon nom...;Wenn ich diese Gedichte unter meinem eigenen Namen veröffentlichen würde ...;;Si publicara estos poemas, bajo mi nombre...;;;;;;;;;x
EVTOPTD_SUFI_3264_TT;You decide to steal the writings and take the credit yourself.\n;Vous décidez de voler ces écrits en vous faisant passer pour l'auteur.\n;Ihr beschließt, die Texte zu stehlen und Euch selbst als ihren Verfasser auszugeben.\n;;Decides apropiarte de los textos y llevarte el mérito.\n;;;;;;;;;x
EVTDESC_SUFI_3266_A;"I cannot believe that you went against my wishes", [From.GetTitledName] writes to me. "The poems were far from finished, and now I receive word that my metaphors could use work? I have been humiliated!" I put the letter away, frowning.;« Je ne peux pas croire que vous êtes allé[Root.GetNoneE] à l'encontre de mes souhaits », vous écrit [From.Get_le_Title][From.GetTitledName]. « Les poèmes étaient loin d'être terminés, et maintenant je reçois un mot me disant que mes métaphores pourraient être mieux travaillées ? J'ai été humilié[From.GetNoneE] ! » Vous rangez la lettre, en fronçant les sourcils.;"Ich kann es einfach nicht glauben, dass Ihr gegen meine Wünsche gehandelt habt", schreibt [From.GetTitledName]. "Die Gedichte waren noch lange nicht vollendet, und jetzt erfahre ich, dass meine Metaphern noch viel zu wünschen übrig lassen? Ich fühle mich gedemütigt!" Ich lege den Brief stirnrunzelnd beiseite.;;"No puedo creer que no respetaras mis deseos", me escribe [From.GetTitledName]. "Los poemas no estaban acabados en absoluto, y ahora ha llegado a mis oídos que mis metáforas podrían estar más trabajadas. ¡Me has humillado!". Dejo la carta a un lado, con el ceño fruncido. ";;;;;;;;;x
EVTDESC_SUFI_3266_B;"I cannot believe that you went against my wishes", [From.GetTitledName] writes to me. "The poems were far from finished, and now people are saying that perhaps I do not understand the comforting aspects of [From.Religion.GetHighGodName]? I have been humiliated!" I put the letter away, frowning.;« Je ne peux pas croire que vous êtes allé[Root.GetNoneE] à l'encontre de mes souhaits », vous écrit [From.Get_le_Title][From.GetTitledName]. « Les poèmes étaient loin d'être terminés, et maintenant les gens disent que je ne comprends sans doute pas les aspects réconfortants [From.Get_du_HighGod][From.Religion.GetHighGodName]. J'ai été humilié[From.GetNoneE] ! » Vous rangez la lettre, en fronçant les sourcils.;"Ich kann es einfach nicht glauben, dass Ihr gegen meine Wünsche gehandelt habt", schreibt [From.GetTitledName]. "Die Gedichte waren noch lange nicht vollendet, und jetzt sagen die Leute, ich verstünde nichts von den tröstlichen Aspekten von [From.Religion.GetHighGodName]? Ich fühle mich gedemütigt!" Ich lege den Brief stirnrunzelnd beiseite.;;"No puedo creer que no respetaras mis deseos", me escribe [From.GetTitledName]. "Los poemas no estaban acabados en absoluto, y ahora la gente dice que no entiendo el consuelo que proporciona [From.Religion.GetHighGodName]. ¡Me has humillado!". Dejo la carta a un lado, con el ceño fruncido.";;;;;;;;;x
EVTOPTA_SUFI_3266;Hrmph. You cannot fault a [Root.GetManWoman] for seizing an opportunity.;Hm. On ne peut pas reprocher à quelqu'un de saisir une occasion.;Pah. Es ist nicht verwerflich, eine Gelegenheit beim Schopf zu packen.;;Bah. No puedes culpar a alguien por aprovechar una oportunidad.;;;;;;;;;x
EVTOPTA_SUFI_3266_TT;§Y[From.GetTitledFirstName]§! will understand, in time.\n;[From.Get_Le_Title]§Y[From.GetTitledFirstName]§! finira par comprendre.\n;§Y[From.GetTitledFirstName]§! wird es mit der Zeit verstehen.\n;;§Y[From.GetTitledFirstName]§! lo entenderá con el tiempo.\n;;;;;;;;;x
EVTDESC_SUFI_3267;"I am flattered that you think [This.Society.GetName] could benefit from my work", [From.GetTitledName] writes in [From.GetHerHis] letter. "Thank you for your support, [Root.GetSisterBrother]" [From.GetSheHe] continues, before assuring me of the finishing touches [From.GetSheHe] intends to see to before the final version of the manuscript will enter the library.;« Je suis flatté[From.GetNoneE] que vous pensiez que mon travail pourrait intéresser [This.Get_le_Society][This.Society.GetName] », vous écrit [From.Get_le_Title][From.GetTitledName] dans sa lettre. « Merci de votre soutien, [Root.GetSisterBrother] » continue-t-[From.GetIlElle], avant de vous assurer des corrections qu'[From.GetIlElle] a l'intention d'apporter avant que la version définitive du manuscrit n'entre dans la bibliothèque.;"Ich fühle mich geschmeichelt, dass Ihr glaubt, der "[This.Society.GetName]"-Zirkel könne von meiner Arbeit profitieren", schreibt [From.GetTitledName] in einem Brief. "Habt Dank für Eure Unterstützung, [Root.GetSisterBrother]", fährt [From.GetSheHe] fort und versichert mir danach, dass [From.GetSheHe] die Texte noch gründlich überarbeiten will, bevor die endgültige Version des Manuskripts in die Bibliothek aufgenommen wird.;;"Me halaga que pienses que mi obra podría beneficiar a [This.Society.GetName]", me escribe [From.GetTitledName] en su carta. "Gracias por tu apoyo, [Root.GetSisterBrother]", continúa, y me garantiza que realizará unos retoques finales antes de que la versión final del manuscrito llegue a la biblioteca.";;;;;;;;;x
EVTOPTA_SUFI_3267;I am honored to be surrounded by minds like [From.GetFirstName].;C'est un honneur d'être entouré par de grands esprits tels que [From.GetFirstName].;Ich fühle mich geehrt, von hochgeistigen Menschen wie [From.GetFirstName] umgeben zu sein.;;Es un honor que te rodeen mentes como la de [From.GetFirstName].;;;;;;;;;x
EVTDESC_SUFI_3268;"I cannot believe that my words could have such an impact on someone, honored [Root.GetSocietyRank] [Root.GetFirstName]." I place the letter on the mantelpiece, the sigil of [From.GetOnlyDynastyName] a friendly reminder of the comfort I feel.;« Je n'aurais jamais cru que mes mots puissent avoir autant d'effet sur quelqu'un, [Root.GetSocietyRank] [Root.GetFirstName] ». Vous placez la lettre sur la cheminée, le symbole des [From.GetOnlyDynastyName], pour vous rappeler le bien que cela vous fait.;Ich kann es kaum glauben, dass meine Worte einen derartigen Eindruck auf jemanden machen könnten, [Root.GetSocietyRank] [Root.GetFirstName]. Ich lege den Brief auf den Kaminsims, und das Siegel der Dynastie [From.GetOnlyDynastyName] erinnert mich angenehm an den Trost, den ich empfinde.;;"No puedo creer que mis palabras tuvieran semejante impacto en alguien, honorable [Root.GetSocietyRank] [Root.GetFirstName]". Dejo la carta sobre la repisa de la chimenea el sigilo de los [From.GetOnlyDynastyName] es un recordatorio amistoso del consuelo que siento.";;;;;;;;;x
EVTOPTA_SUFI_3268;I am lucky to be a part of [This.Society.GetName].;C'est une chance d'être membre [This.Get_du_Society][This.Society.GetName].;Ich kann mich glücklich preisen, ein Teil des "[This.Society.GetName]"-Zirkels zu sein.;;Tengo suerte de formar parte de [This.Society.GetName].;;;;;;;;;x
EVTOPTA_SUFI_3268_TT;You feel better.\n;Vous vous sentez mieux.\n;Ihr fühlt Euch besser.\n;;Te sientes mejor.\n;;;;;;;;;x
EVTDESC_SUFI_3269_A;"I suppose that I should be flattered that you felt the need to stoop this low, you [Root.GetInsultAdjective] [Root.GetInsultNoun]", I read. My [From.GetSisterBrother] [From.GetFirstName] seems to have gotten wind of "my" poetry – it's currently the talk of the town and people seem to really appreciate how I focused on the comforting aspects of faith.;« Je suppose que je devrais être flatté[From.GetNoneE] que vous ayez ressenti le besoin de vous abaisser si bas, vous [Root.GetInsultAdjective] [Root.GetInsultNoun] », lis-je. M[From.GetOnA] [From.GetSisterBrother] [From.GetFirstName] semble avoir eu vent de 'ma' poésie – tout le monde en parle actuellement, et les gens semblent vraiment apprécier comment j'ai parlé des aspects réconfortants de la foi.;"Ich nehme an, dass ich mich geschmeichelt fühlen sollte, dass Ihr es für notwendig erachtet habt, Euch so tief herabzulassen, [Root.GetInsultAdjective] [Root.GetInsultNoun]", lese ich. M[From.Geteineine] [From.GetSisterBrother] [From.GetFirstName] scheint Wind von "meiner" Dichtkunst bekommen zu haben, über die momentan die ganze Stadt redet, und die Leute scheinen es sehr zu schätzen zu wissen, dass ich mich auf die tröstlichen Aspekte des Glaubens konzentriert habe.;;"Supongo que debería halagarme que sintieras la necesidad de caer tan bajo", leo. "Mi [From.GetSisterBrother] [From.GetFirstName] sí ha captado la esencia de mi poesía: es el tema de actualidad en la ciudad, y la gente parece apreciar de verdad cómo he enfocado el consuelo que infunde la fe".";;;;;;;;;x
EVTDESC_SUFI_3269_B;"I suppose that I should be flattered that you felt the need to stoop this low, you [Root.GetInsultAdjective] [Root.GetInsultNoun]", I read. My [From.GetSisterBrother] [From.GetFirstName] seems to have gotten wind of "my" poetry – it's currently the talk of the town and people seem to really appreciate how effortless my metaphors seem.;« Je suppose que je devrais être flatté[From.GetNoneE] que vous ayez ressenti le besoin de vous abaisser si bas, vous [Root.GetInsultAdjective] [Root.GetInsultNoun] », lis-je. M[From.GetOnA] [From.GetSisterBrother] [From.GetFirstName] semble avoir eu vent de 'ma' poésie – tout le monde en parle actuellement, et les gens semblent vraiment apprécier mes métaphores.;"Ich nehme an, dass ich mich geschmeichelt fühlen sollte, dass Ihr es für notwendig erachtet habt, Euch so tief herabzulassen, [Root.GetInsultAdjective] [Root.GetInsultNoun]", lese ich. M[From.Geteineine] [From.GetSisterBrother] [From.GetFirstName] scheint Wind von "meiner" Dichtkunst bekommen zu haben, über die momentan die ganze Stadt redet, und die Leute scheinen es sehr zu schätzen zu wissen, wie mühelos meine Metaphern wirken.;;"Supongo que debería halagarme que sintieras la necesidad de caer tan bajo", leo. "Mi [From.GetSisterBrother] [From.GetFirstName] sí ha captado la esencia de mi poesía: es el tema de actualidad en la ciudad, y la gente parece apreciar de verdad lo naturales que suenan mis metáforas".";;;;;;;;;x
EVTOPTA_SUFI_3269;Sorry, [From.GetTitledName], but [Root.Religion.GetHighGodName] works in mysterious ways.;Désolé[Root.GetNoneE], [From.Get_le_Title][From.GetTitledName], mais les voies [Root.Get_du_HighGod][Root.Religion.GetHighGodName] sont impénétrables.;Tut mir leid, [From.GetTitledName], aber die Wege von [Root.Religion.GetHighGodName] sind unergründlich.;;Lo siento, [From.GetTitledName], pero los caminos de [Root.Religion.GetHighGodName] son inescrutables.;;;;;;;;;x
